Date,Month,Year,Graphing Label,Total Jobs (private and government),Private Sector (total),"Mining, Logging and Construction",Manufacturing (total),Manufacturing (durable goods),Manufacturing (non-durable goods),"Trade, Transportation, and Utilities (total)","Trade, Transportation, and Utilities (wholesale trade)","Trade, Transportation, and Utilities (retail trade)","Trade, Transportation, and Utilities (transportation, warehousing, and utilities)",Information,Financial Activities (total),Financial Activities (finance and insurance),Financial Activities (real estate and rental and leasing),Professional and Business Services (total),"Professional and Business Services (professional, scientific, and technical services)",Professional and Business Services (management of companies and enterprises),Professional and Business Services (administrative and support and waste management and remediation services),Education and Health Services (total),Education and Health Services (educational services),Education and Health Services (health care and social assistance),Leisure and Hospitality (total),"Leisure and Hospitality (arts, entertainment, and recreation)",Leisure and Hospitality (accommodation and food services),Other Services,Government (total),Government (federal),Government (state),Government (local)
01/01/2007 12:00:00 AM,Jan,2007,Jan 2007,"6,300","5,700","1,000",0,-200,200,"1,100",-100,900,300,0,0,-100,100,"1,000",500,900,-400,600,400,200,"1,500","1,600",-100,500,600,600,700,-700
02/01/2007 12:00:00 AM,Feb,2007,Feb 2007,"-7,300","-6,700","-2,600",-300,-200,-100,"-1,600",100,"-1,500",-200,0,-300,-300,0,100,500,100,-500,500,200,300,"-2,000","-1,900",-100,-500,-600,-500,-200,100
03/01/2007 12:00:00 AM,Mar,2007,Mar 2007,"9,200","7,400","2,200",-100,-100,0,"1,500",0,"1,100",400,300,-300,-400,100,"1,100",600,100,400,"1,600",600,"1,000",800,500,300,300,"1,800",-100,400,"1,500"
04/01/2007 12:00:00 AM,Apr,2007,Apr 2007,"-4,200","-4,500",100,-400,-100,-300,"-2,100",-100,"-1,100",-900,200,-500,-400,-100,-500,-200,100,-400,-300,-400,100,"-1,000","-1,300",300,0,300,0,200,100
05/01/2007 12:00:00 AM,May,2007,May 2007,"3,900","2,300",300,-100,-200,100,"1,000",-100,700,400,200,-100,0,-100,400,400,0,0,"1,000",600,400,-400,200,-600,0,"1,600",-200,600,"1,200"
06/01/2007 12:00:00 AM,Jun,2007,Jun 2007,-100,900,0,0,0,0,-700,-300,-400,0,500,-300,-300,0,500,200,100,200,"1,400",100,"1,300",-700,-800,100,200,"-1,000",100,"-1,700",600
07/01/2007 12:00:00 AM,Jul,2007,Jul 2007,"2,400",900,-600,-200,0,-200,-200,0,0,-200,0,-100,0,-100,0,200,200,-400,100,-400,500,"1,400",600,800,500,"1,500",-100,"1,200",400
08/01/2007 12:00:00 AM,Aug,2007,Aug 2007,400,"-1,300",-300,-300,-300,0,"-2,400",-200,"-1,700",-500,500,-500,-500,0,300,200,0,100,800,0,800,800,300,500,-200,"1,700",400,100,"1,200"
09/01/2007 12:00:00 AM,Sep,2007,Sep 2007,"-2,200","-1,800","-1,100",-600,-400,-200,-800,0,-600,-200,-100,-400,-300,-100,400,-300,200,500,600,300,300,100,100,0,100,-400,-100,-100,-200
10/01/2007 12:00:00 AM,Oct,2007,Oct 2007,-200,"-1,300",-900,300,400,-100,0,-400,500,-100,"-1,300",-600,-500,-100,500,600,0,-100,100,200,-100,300,200,100,300,"1,100",300,0,800
11/01/2007 12:00:00 AM,Nov,2007,Nov 2007,"2,000",300,-800,-400,-100,-300,100,100,400,-400,200,-600,-600,0,500,700,200,-400,900,700,200,400,-800,"1,200",0,"1,700",200,700,800
12/01/2007 12:00:00 AM,Dec,2007,Dec 2007,"2,800","2,600","-1,300",-100,-100,0,"1,600",100,"1,300",200,400,-100,0,-100,800,600,200,0,700,100,600,700,900,-200,-100,200,100,-200,300
01/01/2008 12:00:00 AM,Jan,2008,Jan 2008,"4,400","2,000","1,600",0,0,0,"-1,800",-100,"-1,200",-500,-200,-700,-400,-300,700,"1,600",0,-900,"1,800","1,000",800,900,300,600,-300,"2,400",0,-200,"2,600"
02/01/2008 12:00:00 AM,Feb,2008,Feb 2008,-700,"-1,000",-500,200,100,100,"-1,100",-200,-900,0,-200,-100,-100,0,-300,-100,100,-300,300,-500,800,700,500,200,0,300,300,300,-300
03/01/2008 12:00:00 AM,Mar,2008,Mar 2008,"-5,000","-4,600","-1,400",-900,-600,-300,"-1,100",400,-800,-700,-100,-300,-100,-200,"-1,200",-100,0,"-1,100",900,300,600,-200,-600,400,-300,-400,200,0,-600
04/01/2008 12:00:00 AM,Apr,2008,Apr 2008,"1,900","1,200","-1,500",-900,-300,-600,"-2,000",-600,"-1,200",-200,200,-300,-300,0,"1,000",700,-100,400,"1,500",300,"1,200","2,600",200,"2,400",600,700,300,300,100
05/01/2008 12:00:00 AM,May,2008,May 2008,"-5,500","-5,800","-2,000",-500,-300,-200,"-1,600",-200,"-1,500",100,-400,-600,-400,-200,"-1,000",-300,0,-700,800,200,600,-500,200,-700,0,300,300,-700,700
06/01/2008 12:00:00 AM,Jun,2008,Jun 2008,"-6,900","-6,200","-1,700",-200,-200,0,"-1,400",-100,"-1,300",0,-500,-500,-300,-200,"-1,100",0,100,"-1,200",700,200,500,"-1,600",-400,"-1,200",100,-700,300,400,"-1,400"
07/01/2008 12:00:00 AM,Jul,2008,Jul 2008,800,"-3,100","-1,400",-300,-100,-200,-700,-500,-500,300,-100,-700,-600,-100,600,600,-300,300,"1,200",500,700,"-1,200",-400,-800,-500,"3,900",600,700,"2,600"
08/01/2008 12:00:00 AM,Aug,2008,Aug 2008,"-3,400","-5,100","-1,000",-200,-100,-100,"-1,400",-300,"-1,200",100,-500,-200,0,-200,"-1,000",-800,500,-700,800,-100,900,"-1,300",-300,"-1,000",-300,"1,700",100,200,"1,400"
09/01/2008 12:00:00 AM,Sep,2008,Sep 2008,"-7,000","-5,500","-1,400",-700,-300,-400,"-2,200",-300,"-1,400",-500,300,-800,-700,-100,-500,600,-100,"-1,000","1,900",900,"1,000","-2,200",-900,"-1,300",100,"-1,500",300,400,"-2,200"
10/01/2008 12:00:00 AM,Oct,2008,Oct 2008,"-6,400","-6,400","-1,800","-1,300",-600,-700,"-2,700",-500,"-2,100",-100,-900,-300,-100,-200,"-2,400",-400,-100,"-1,900","1,100",-500,"1,600","2,500",700,"1,800",-600,0,200,200,-400
