Date,Month,Year,Graphing Label,Total Jobs (private and government),Private Sector (total),"Mining, Logging and Construction",Manufacturing (total),Manufacturing (durable goods),Manufacturing (non-durable goods),"Trade, Transportation, and Utilities (total)","Trade, Transportation, and Utilities (wholesale trade)","Trade, Transportation, and Utilities (retail trade)","Trade, Transportation, and Utilities (transportation, warehousing, and utilities)",Information,Financial Activities (total),Financial Activities (finance and insurance),Financial Activities (real estate and rental and leasing),Professional and Business Services (total),"Professional and Business Services (professional, scientific, and technical services)",Professional and Business Services (management of companies and enterprises),Professional and Business Services (administrative and support and waste management and remediation services),Education and Health Services (total),Education and Health Services (educational services),Education and Health Services (health care and social assistance),Leisure and Hospitality (total),"Leisure and Hospitality (arts, entertainment, and recreation)",Leisure and Hospitality (accommodation and food services),Other Services,Government (total),Government (federal),Government (state),Government (local)
01/01/2007 12:00:00 AM,Jan,2007,Jan 2007,"2,609,700","2,133,600","191,500","135,100","72,800","62,300","478,000","94,300","302,200","81,500","50,100","158,800","111,100","47,700","397,600","220,700","21,000","21,000","369,800","70,500","299,300","235,300","38,600","196,700","117,400","476,100","125,400","108,800","241,900"
02/01/2007 12:00:00 AM,Feb,2007,Feb 2007,"2,602,400","2,126,900","188,900","134,800","72,600","62,200","476,400","94,400","300,700","81,300","50,100","158,500","110,800","47,700","397,700","221,200","21,100","21,100","370,300","70,700","299,600","233,300","36,700","196,600","116,900","475,500","124,900","108,600","242,000"
03/01/2007 12:00:00 AM,Mar,2007,Mar 2007,"2,611,600","2,134,300","191,100","134,700","72,500","62,200","477,900","94,400","301,800","81,700","50,400","158,200","110,400","47,800","398,800","221,800","21,200","21,200","371,900","71,300","300,600","234,100","37,200","196,900","117,200","477,300","124,800","109,000","243,500"
04/01/2007 12:00:00 AM,Apr,2007,Apr 2007,"2,607,400","2,129,800","191,200","134,300","72,400","61,900","475,800","94,300","300,700","80,800","50,600","157,700","110,000","47,700","398,300","221,600","21,300","21,300","371,600","70,900","300,700","233,100","35,900","197,200","117,200","477,600","124,800","109,200","243,600"
05/01/2007 12:00:00 AM,May,2007,May 2007,"2,611,300","2,132,100","191,500","134,200","72,200","62,000","476,800","94,200","301,400","81,200","50,800","157,600","110,000","47,600","398,700","222,000","21,300","21,300","372,600","71,500","301,100","232,700","36,100","196,600","117,200","479,200","124,600","109,800","244,800"
06/01/2007 12:00:00 AM,Jun,2007,Jun 2007,"2,611,200","2,133,000","191,500","134,200","72,200","62,000","476,100","93,900","301,000","81,200","51,300","157,300","109,700","47,600","399,200","222,200","21,400","21,400","374,000","71,600","302,400","232,000","35,300","196,700","117,400","478,200","124,700","108,100","245,400"
07/01/2007 12:00:00 AM,Jul,2007,Jul 2007,"2,613,600","2,133,900","190,900","134,000","72,200","61,800","475,900","93,900","301,000","81,000","51,300","157,200","109,700","47,500","399,200","222,400","21,600","21,600","374,100","71,200","302,900","233,400","35,900","197,500","117,900","479,700","124,600","109,300","245,800"
08/01/2007 12:00:00 AM,Aug,2007,Aug 2007,"2,614,000","2,132,600","190,600","133,700","71,900","61,800","473,500","93,700","299,300","80,500","51,800","156,700","109,200","47,500","399,500","222,600","21,600","21,600","374,900","71,200","303,700","234,200","36,200","198,000","117,700","481,400","125,000","109,400","247,000"
09/01/2007 12:00:00 AM,Sep,2007,Sep 2007,"2,611,800","2,130,800","189,500","133,100","71,500","61,600","472,700","93,700","298,700","80,300","51,700","156,300","108,900","47,400","399,900","222,300","21,800","21,800","375,500","71,500","304,000","234,300","36,300","198,000","117,800","481,000","124,900","109,300","246,800"
10/01/2007 12:00:00 AM,Oct,2007,Oct 2007,"2,611,600","2,129,500","188,600","133,400","71,900","61,500","472,700","93,300","299,200","80,200","50,400","155,700","108,400","47,300","400,400","222,900","21,800","21,800","375,600","71,700","303,900","234,600","36,500","198,100","118,100","482,100","125,200","109,300","247,600"
